case_name,condition,method,overshoot_pct,settling_time_2pct_s,settling_time_5pct_s,steady_error_rpm,max_speed_drop_rpm,recovery_time_s,steady_id_A,steady_iq_A,steady_is_A,iq_peak_A,current_limit_time_s,mean_Pin_W,mean_Pout_W,mean_eta_pct,mean_Pcu_W,pin_reduction_vs_id0_pct,pin_diff_vs_mtpa_pct,id_convergence_time_s,steady_detector_start_s,freeze_count,constraint_trigger_count,gradient_rms
"load_step","base","id0",3.720717194,1.538,1.5233,0,71.98694008,0.038,0,8.019618853,8.019618853,23.88232223,0,606.259033,529.0818892,87.26993914,77.17714386,0,1.355104111,0,,0,1,0
"load_step","base","mtpa",1.770669292,1.5342,1.5184,6.78518332e-13,64.78008222,0.0342,-2.106829717,7.288407712,7.586805549,23.74061341,0,598.1534313,529.0818892,88.45253767,69.07154213,1.336986551,0,1.5404,,0,1,0
"load_step","base","mfo",3.720717194,1.5375,1.5227,-0.03575808426,70.99048992,0.0375,-0.4817221659,7.84017699,7.856050536,23.88232223,0,603.1606103,529.1063662,87.72248766,74.06348777,0.5110724168,0.8371061306,0.5515,0.1237,1,1,110.7066024
