method,mean_Pin_W,mean_is_A,efficiency_pct,mean_speed_rpm,mean_id_bar_A,pin_reduction_vs_id0_pct,current_reduction_vs_id0_pct
baseline,272.088629455993,3.2743362747172,95.2715651243352,1200,0,0,0
optimization,271.827754480625,3.24234657030584,95.3584672514085,1199.94721681988,-0.363230530016422,0.0958786759631626,0.976982866981811
